Name,RA (J2000),Dec (J2000),Object Type,cz [km/s],z-flag,Redshift Reference,PA [deg],Sep. [Mpc],Δcz [km/s]
UGC 09833,15h23m52.73s,+23d32m51.2s,G,8693,,1990ApJS...72..245S,-88.4,3.2302,3259
2MASX J15355247+2602439,15h35m52.48s,+26d02m44.1s,G,10193,,2007SDSS6.C...0000:,4.6,3.2454,4759
SDSS J152937.26+254837.2,15h29m37.26s,+25d48m37.3s,G,10254,,2007SDSS6.C...0000:,-27.4,3.3155,4820
CGCG 135-057,15h25m48.68s,+25d04m44.6s,G,9989,,2007SDSS6.C...0000:,-52.4,3.3233,4555
SDSS J153138.81+260208.5,15h31m38.81s,+26d02m08.5s,G,10336,,2007SDSS6.C...0000:,-16.3,3.3607,4902
CGCG 135-059,15h28m47.28s,+25d44m52.1s,G,10253,,2007SDSS6.C...0000:,-31.7,3.3666,4819
SDSS J153240.42+260559.4,15h32m40.42s,+26d05m59.5s,G,10250,,2011ApJ...735..125S,-11.2,3.3687,4816
CGCG 136-014,15h33m41.83s,+26d08m24.2s,G,10187,,1988AJ.....95.1602S,-6.1,3.3744,4753
SDSS J152753.05+253837.5,15h27m53.06s,+25d38m37.5s,G,1466,,2007SDSS6.C...0000:,-36.5,3.4057,-3968
2MFGC 12580,15h37m16.26s,+26d09m21.1s,G,10193,,2007SDSS6.C...0000:,11.1,3.4407,4759
SDSS J153650.65+261031.9,15h36m50.66s,+26d10m32.0s,G,9996,,2007SDSS6.C...0000:,9.0,3.4436,4562
[RPG97] 357,15h44m07.63s,+25d14m54.3s,GGroup,9829,,1997AJ....113..483R,49.7,3.4631,4395
USGC U722,15h44m10.10s,+25d15m09.0s,GTrpl,9844,,2002AJ....123.2976R,49.7,3.4755,4410
SDSS J152846.38+210955.3,15h28m46.38s,+21d09m55.3s,G,9001,,2011ApJ...735..125S,-148.3,3.4863,3567
2MASX J15292686+2556484,15h29m26.83s,+25d56m48.6s,G,9836,,2007SDSS6.C...0000:,-26.8,3.4926,4402
SDSS J152618.33+252506.6,15h26m18.34s,+25d25m06.6s,G,10065,,2007SDSS6.C...0000:,-45.3,3.4940,4631
LSBC F583-02,15h37m00.57s,+20d47m41.6s,G,1719,,2000A&AS..147..187H,169.9,3.4986,-3715
SDSS J154309.39+253158.3,15h43m09.39s,+25d31m58.4s,G,9477,,2007SDSS6.C...0000:,42.2,3.5076,4043
UGC 09999 NOTES01,15h44m18.96s,+25d18m03.1s,G,9735,,2007SDSS6.C...0000:,49.4,3.5476,4301
SDSS J152929.48+260018.7,15h29m29.49s,+26d00m18.7s,G,2015,,2011ApJ...735..125S,-26.1,3.5531,-3419
SDSS J152924.69+255947.9,15h29m24.69s,+25d59m47.9s,G,2047,,2007SDSS6.C...0000:,-26.5,3.5537,-3387
SDSS J152924.68+255947.9,15h29m24.68s,+25d59m47.9s,G,2048,,2011ApJ...735..125S,-26.5,3.5537,-3386
CGCG 135-061,15h29m29.40s,+26d00m21.0s,G,2014,,1999PASP..111..438F,-26.1,3.5540,-3420
2MASX J15441721+2520068,15h44m17.23s,+25d20m06.8s,G,9585,,2011ApJ...735..125S,48.7,3.5694,4151
SDSS J152643.40+212618.7,15h26m43.41s,+21d26m18.8s,G,8992,,2007SDSS6.C...0000:,-137.0,3.5712,3558
SDSS J153706.31+261601.7,15h37m06.32s,+26d16m01.7s,G,9715,,2007SDSS6.C...0000:,9.9,3.5712,4281
SDSS J153830.58+261203.1,15h38m30.59s,+26d12m03.2s,G,10338,,2007SDSS6.C...0000:,16.5,3.5827,4904
UGC 09999,15h44m22.95s,+25d19m39.1s,G,9546,,1999PASP..111..438F,49.2,3.5840,4112
SDSS J154439.19+251509.6,15h44m39.20s,+25d15m09.7s,G,9149,,2007SDSS6.C...0000:,51.1,3.5849,3715
UGC 09921,15h35m40.83s,+26d19m10.0s,G,9950,,2007SDSS6.C...0000:,3.3,3.5896,4515
SDSS J154505.00+250805.8,15h45m05.01s,+25d08m05.8s,G,9720,,2007SDSS6.C...0000:,54.2,3.5960,4286
CGCG 136-023,15h35m41.54s,+26d19m59.2s,GPair,9928,,1991RC3.9.C...0000d,3.3,3.6072,4494
SDSS J152948.19+260516.3,15h29m48.20s,+26d05m16.4s,G,1496,,2007SDSS6.C...0000:,-24.1,3.6095,-3938
CGCG 136-035,15h38m04.26s,+26d15m40.4s,G,10336,,1999PASP..111..438F,14.2,3.6228,4902
2MFGC 12654,15h43m57.87s,+25d29m41.6s,G,9729,,2007SDSS6.C...0000:,45.4,3.6365,4295
CGCG 136-036,15h38m04.46s,+26d16m53.5s,G,10265,,1999PASP..111..438F,14.1,3.6481,4831
UGC 09921 NOTES02,15h35m57.62s,+26d22m12.7s,G,9909,,2007SDSS6.C...0000:,4.5,3.6597,4475
SDSS J153753.01+261820.8,15h37m53.02s,+26d18m20.9s,G,10285,,2007SDSS6.C...0000:,13.2,3.6650,4851
2MASX J15282286+2558406,15h28m22.89s,+25d58m40.3s,G,10159,,2007SDSS6.C...0000:,-30.8,3.6771,4725
2MASX J15444391+2523388,15h44m43.90s,+25d23m39.1s,G,9663,,2011ApJ...735..125S,49.1,3.7157,4229
SDSS J154459.15+252053.0,15h44m59.15s,+25d20m53.0s,G,9411,,2007SDSS6.C...0000:,50.6,3.7353,3977
SDSS J153931.46+261615.8,15h39m31.46s,+26d16m15.8s,G,9970,,2007SDSS6.C...0000:,20.3,3.7609,4536
SDSS J152946.32+204505.6,15h29m46.33s,+20d45m05.7s,G,2007,,2011ApJ...735..125S,-156.2,3.8199,-3427
2MASX J15405389+2048577,15h40m53.91s,+20d48m57.3s,G,9169,,2007SDSS6.C...0000:,152.6,3.8419,3735
UGC 10011,15h45m21.60s,+25d26m37.3s,G,9995,,1991RC3.9.C...0000d,50.1,3.8956,4561
SDSS J154818.45+240320.6,15h48m18.45s,+24d03m20.7s,G,9595,,2007SDSS6.C...0000:,79.1,3.9507,4161
2MASX J15365091+2634494,15h36m50.91s,+26d34m48.9s,G,10358,,2007SDSS6.C...0000:,7.8,3.9538,4924
SDSS J153657.89+263435.6,15h36m57.89s,+26d34m35.6s,G,10175,,2011ApJ...735..125S,8.3,3.9540,4741
SDSS J152309.66+250403.2,15h23m09.67s,+25d04m03.2s,G,9893,,2007SDSS6.C...0000:,-59.2,3.9571,4459
SDSS J154503.69+253633.7,15h45m03.69s,+25d36m33.8s,G,9489,,2007SDSS6.C...0000:,47.0,3.9671,4055
SDSS J152408.91+252514.1,15h24m08.91s,+25d25m14.2s,G,9738,,2011AJ....142..170H,-51.5,3.9681,4304
2MASX J15252270+2547208,15h25m22.67s,+25d47m21.2s,G,9893,,2007SDSS6.C...0000:,-43.1,4.0164,4459
2MASX J15470632+2202531,15h47m06.36s,+22d02m53.0s,G,9502,,2007SDSS6.C...0000:,116.9,4.0169,4068
SDSS J152255.97+250804.4,15h22m55.98s,+25d08m04.5s,G,9995,,2007SDSS6.C...0000:,-58.6,4.0568,4561
2MASX J15362243+2640476,15h36m22.43s,+26d40m47.6s,G,9713,,2007SDSS6.C...0000:,5.7,4.0636,4279
2MASX J15402252+2032130,15h40m22.58s,+20d32m13.1s,G,9169,,2000AJ....119...32G,156.8,4.0998,3735
2MASX J15485185+2408088,15h48m51.87s,+24d08m08.5s,G,9634,,2007SDSS6.C...0000:,78.1,4.1281,4199
SDSS J154913.07+230945.1,15h49m13.07s,+23d09m45.1s,G,9594,,2007SDSS6.C...0000:,95.2,4.1898,4160
SDSS J153742.87+264408.5,15h37m42.88s,+26d44m08.6s,G,10101,,2007SDSS6.C...0000:,10.8,4.1905,4667
2MASX J15473139+2508052,15h47m31.44s,+25d08m04.7s,G,9576,,2011ApJ...735..125S,59.7,4.1945,4142
SDSS J154748.99+220303.1,15h47m48.99s,+22d03m03.2s,G,9428,,2007SDSS6.C...0000:,115.5,4.2017,3994
2MASX J15473095+2511002,15h47m31.01s,+25d11m00.7s,G,9459,,2007SDSS6.C...0000:,58.9,4.2233,4025
2MASX J15264509+2615027,15h26m45.09s,+26d15m03.3s,G,9895,,2007SDSS6.C...0000:,-33.7,4.2234,4461
UGCl 368,15h46m31.08s,+25d33m45.0s,GClstr,2145,,1984A&AS...56..363B,51.3,4.2513,-3289
SDSS J154648.36+253028.8,15h46m48.37s,+25d30m28.9s,G,9682,,2007SDSS6.C...0000:,52.8,4.2762,4248
SDSS J152251.01+252651.5,15h22m51.02s,+25d26m51.5s,G,10119,,2007SDSS6.C...0000:,-54.2,4.2909,4685
2MASX J15222947+2519541,15h22m29.51s,+25d19m54.3s,G,9900,,2007SDSS6.C...0000:,-56.6,4.2958,4466
SDSS J152807.08+202915.3,15h28m07.05s,+20d29m14.8s,G,8931,,2011ApJ...735..125S,-152.0,4.3362,3497
MCG +05-36-032,15h27m00.64s,+26d27m00.3s,G,9945,,2007SDSS6.C...0000:,-31.0,4.3955,4511
2MASX J15484303+2208128,15h48m43.07s,+22d08m12.6s,G,9380,,2007SDSS6.C...0000:,112.6,4.3956,3946
SDSS J152726.82+263230.0,15h27m26.82s,+26d32m30.0s,G,1969,,2007SDSS6.C...0000:,-28.8,4.4323,-3465
SDSS J153444.01+270007.7,15h34m44.01s,+27d00m07.7s,G,9681,,2011ApJ...735..125S,-0.8,4.4545,4247
2MASX J15480275+2526216,15h48m02.72s,+25d26m21.6s,G,9857,,2011ApJ...735..125S,56.3,4.5223,4423
UGC 10043,15h48m41.21s,+21d52m09.8s,G,2161,,1997AJ....114..122G,116.6,4.5368,-3273
SDSS J153508.08+195610.5,15h35m08.09s,+19d56m10.6s,G,8827,,2007SDSS6.C...0000:,179.3,4.5410,3393
SDSS J154823.55+252102.7,15h48m23.56s,+25d21m02.8s,G,9939,,2007SDSS6.C...0000:,58.2,4.5489,4505
SDSS J153458.88+270455.4,15h34m58.89s,+27d04m55.4s,G,9797,,2011AJ....142..170H,0.1,4.5561,4363
SDSS J154839.31+251639.4,15h48m39.32s,+25d16m39.5s,G,9759,,2007SDSS6.C...0000:,59.7,4.5685,4325
SDSS J153315.04+270505.0,15h33m15.05s,+27d05m05.1s,G,9732,,2011ApJ...735..125S,-6.0,4.5858,4298
FGC 1896,15h25m12.39s,+26d21m07.3s,G,10207,,2007SDSS6.C...0000:,-37.3,4.5897,4773
MCG +04-37-035,15h48m52.16s,+21d51m17.3s,G,2218,,2007SDSS6.C...0000:,116.5,4.5933,-3216
2MASX J15271824+2640283,15h27m18.25s,+26d40m28.2s,G,10012,,2012ApJS..199...26H,-28.2,4.6000,4578
2MASX J15303776+2658572,15h30m37.81s,+26d58m56.9s,G,9759,,2011ApJ...735..125S,-15.5,4.6009,4325
SDSS J152520.35+262310.7,15h25m20.35s,+26d23m10.8s,G,10223,,2007SDSS6.C...0000:,-36.6,4.6009,4789
2MASX J15271443+2021274,15h27m14.43s,+20d21m27.4s,G,8922,,2011ApJ...735..125S,-150.0,4.6065,3488
CGCG 166-017,15h35m42.52s,+27d07m06.3s,G,10120,,1995AJ....109.2368T,2.7,4.6076,4686
2MASX J15450925+2617304,15h45m09.25s,+26d17m31.4s,G,9785,,2011ApJ...735..125S,39.1,4.6123,4351
2MASX J15345496+2707403,15h34m54.99s,+27d07m40.1s,G,9948,,2011ApJ...735..125S,-0.1,4.6144,4514
SDSS J154839.34+252229.3,15h48m39.35s,+25d22m29.4s,G,9232,,2007SDSS6.C...0000:,58.3,4.6299,3798
MSPM 00567,15h48m39.36s,+25d22m29.3s,GClstr,9773,,2012MNRAS.422...25S,58.3,4.6299,4339
2MASX J15480514+2129157,15h48m05.12s,+21d29m15.7s,G,10142,,2007SDSS6.C...0000:,123.0,4.6357,4708
CGCG 136-085,15h48m38.30s,+25d24m15.0s,G,9845,,1999PASP..111..438F,57.9,4.6446,4411
SDSS J153527.76+270900.9,15h35m27.77s,+27d09m01.0s,G,9235,,2011AJ....142..170H,1.8,4.6454,3801
SDSS J154826.48+252914.9,15h48m26.49s,+25d29m15.0s,G,9624,,2007SDSS6.C...0000:,56.4,4.6516,4190
SDSS J152128.52+253005.9,15h21m28.52s,+25d30m06.0s,G,9369,,2007SDSS6.C...0000:,-56.2,4.6593,3935
SDSS J154855.45+214533.1,15h48m55.46s,+21d45m33.1s,G,2018,,2007SDSS6.C...0000:,117.7,4.6658,-3416
SDSS J154031.47+265648.7,15h40m31.48s,+26d56m48.7s,G,10405,,2007SDSS6.C...0000:,19.8,4.6682,4971
UGC 09859,15h27m02.15s,+26d42m18.6s,G,10161,,1999PASP..111..438F,-28.8,4.6716,4727
SDSS J152705.25+264245.7,15h27m05.26s,+26d42m45.7s,G,10296,,2011ApJ...735..125S,-28.6,4.6727,4862
2MASX J15363923+2709174,15h36m39.27s,+27d09m17.4s,G,9956,,2011ApJ...735..125S,5.9,4.6747,4522
SDSS J153435.67+271029.7,15h34m35.68s,+27d10m29.7s,G,9772,,2011ApJ...735..125S,-1.2,4.6757,4338
2MASX J15305137+2703343,15h30m51.44s,+27d03m34.3s,G,9557,,2011AJ....142..170H,-14.4,4.6786,4123
2MASX J15223445+2552211,15h22m34.48s,+25d52m21.0s,G,9962,,2011AJ....142..170H,-49.2,4.6810,4528
SDSS J153447.75+194911.9,15h34m47.76s,+19d49m11.9s,G,8862,,2007SDSS6.C...0000:,-179.4,4.6893,3428
SDSS J152414.78+261625.2,15h24m14.79s,+26d16m25.2s,G,10215,,2007SDSS6.C...0000:,-40.7,4.6900,4781
2MASX J15303390+2703106,15h30m33.92s,+27d03m10.6s,G,9379,,2011ApJ...735..125S,-15.4,4.6925,3945
MSPM 00556,15h30m33.91s,+27d03m10.8s,GClstr,9554,,2012MNRAS.422...25S,-15.4,4.6925,4120
2MASX J15344109+2711234,15h34m41.10s,+27d11m23.4s,G,10429,,2011ApJ...735..125S,-0.9,4.6943,4995
SDSS J154845.52+252617.4,15h48m45.53s,+25d26m17.5s,G,9719,,2007SDSS6.C...0000:,57.7,4.6966,4285
2MASX J15490364+2519278,15h49m03.63s,+25d19m27.5s,G,9994,,2007SDSS6.C...0000:,59.7,4.6997,4560
MSPM 00526,15h45m05.38s,+26d23m41.3s,GClstr,9728,,2012MNRAS.422...25S,37.9,4.7016,4294
2MASX J15450538+2623424,15h45m05.37s,+26d23m41.4s,G,9799,,2007SDSS6.C...0000:,37.9,4.7016,4365
SDSS J153651.69+271017.4,15h36m51.70s,+27d10m17.5s,G,9555,,2011AJ....142..170H,6.6,4.7024,4121
SDSS J154807.96+212404.9,15h48m07.96s,+21d24m05.0s,G,10263,,2007SDSS6.C...0000:,124.0,4.7100,4829
UGC 10049 NED03,15h49m16.64s,+21d49m52.9s,G,2088,,2007SDSS6.C...0000:,116.1,4.7142,-3346
UGC 10049 NED04,15h49m17.10s,+21d49m43.3s,G,2250,,1992ApJ...399..353H,116.2,4.7178,-3184
SDSSCGB 13335,15h48m45.00s,+25d28m55.7s,GGroup,9893,,2009MNRAS.395..255M,57.1,4.7235,4459
SDSS J155101.81+235939.5,15h51m01.81s,+23d59m39.6s,G,1105,,2007SDSS6.C...0000:,81.6,4.7249,-4329
SDSS J154846.56+252840.4,15h48m46.56s,+25d28m40.5s,G,9826,,2007SDSS6.C...0000:,57.2,4.7271,4392
CGCG 165-053 NED01,15h25m32.97s,+26d32m51.4s,G,10229,,1999PASP..111..438F,-34.5,4.7306,4795
CGCG 165-053 NED02,15h25m34.14s,+26d33m19.7s,G,9965,,1992NED11.R......1N,-34.4,4.7355,4531
2MASX J15301038+2704255,15h30m10.38s,+27d04m26.0s,G,9462,,2011ApJ...735..125S,-16.6,4.7497,4028
2MASX J15354405+2713489,15h35m44.04s,+27d13m49.0s,G,9777,,2011ApJ...735..125S,2.7,4.7506,4343
2MASX J15470139+2602248,15h47m01.39s,+26d02m25.3s,G,9722,,2007SDSS6.C...0000:,46.6,4.7536,4288
SDSS J153432.44+271424.3,15h34m32.45s,+27d14m24.4s,G,10224,,2011ApJ...735..125S,-1.4,4.7593,4790
2MASX J15232896+2611433,15h23m28.96s,+26d11m43.9s,G,9908,,2007SDSS6.C...0000:,-43.4,4.7670,4474
CGCG 166-005,15h30m16.15s,+27d05m51.1s,G,9723,,1999PASP..111..438F,-16.2,4.7707,4289
2MASX J15355335+2714498,15h35m53.40s,+27d14m50.4s,G,9682,,2011ApJ...735..125S,3.2,4.7746,4248
SDSS J153053.38+270856.2,15h30m53.38s,+27d08m56.2s,G,2000,,2011ApJ...735..125S,-13.9,4.7868,-3434
SDSS J153422.62+271545.3,15h34m22.63s,+27d15m45.4s,G,9699,,2011ApJ...735..125S,-2.0,4.7894,4265
[DZ2015] 704,15h35m34.08s,+27d15m46.8s,GGroup,9789,,2015A&A...578A..61D,2.1,4.7903,4355
SDSS J154514.94+262726.4,15h45m14.95s,+26d27m26.5s,G,9840,,2007SDSS6.C...0000:,37.8,4.7924,4406
SDSS J153632.71+271526.9,15h36m32.72s,+27d15m26.9s,G,9984,,2011ApJ...735..125S,5.4,4.8019,4550
SDSS J152919.39+270404.2,15h29m19.40s,+27d04m04.2s,G,10042,,2011ApJ...735..125S,-19.4,4.8192,4608
CGCG 136-092,15h50m06.39s,+25d03m17.4s,G,9504,,1992ApJS...79..157F,65.0,4.8196,4070
SDSS J152151.32+255038.6,15h21m51.33s,+25d50m38.6s,G,10145,,2007SDSS6.C...0000:,-51.1,4.8202,4711
CGCG 166-004,15h30m12.25s,+27d08m02.8s,G,9803,,1999PASP..111..438F,-16.2,4.8207,4369
SDSS J152716.10+265204.3,15h27m16.11s,+26d52m04.4s,G,10075,,2011ApJ...735..125S,-26.9,4.8220,4641
SDSS J153512.68+271729.9,15h35m12.69s,+27d17m29.9s,G,9098,,2011ApJ...735..125S,0.9,4.8242,3664
CGCG 166-049,15h45m09.62s,+26d30m22.0s,G,9578,,1999PASP..111..438F,37.1,4.8253,4144
2MASX J15451788+2629264,15h45m17.90s,+26d29m26.5s,G,9736,,2007SDSS6.C...0000:,37.6,4.8343,4302
SDSS J154527.59+262758.6,15h45m27.59s,+26d27m58.7s,G,9676,,2007SDSS6.C...0000:,38.2,4.8392,4241
2MASX J15352119+2718484,15h35m21.16s,+27d18m48.8s,G,9764,,2011ApJ...735..125S,1.3,4.8529,4330
CGCG 166-018,15h36m15.17s,+27d18m16.3s,G,9835,,1999PASP..111..438F,4.3,4.8545,4401
CGCG 135-051,15h21m40.60s,+25d50m33.2s,G,10177,,2007SDSS6.C...0000:,-51.5,4.8599,4743
SDSS J153001.44+270916.9,15h30m01.44s,+27d09m17.0s,G,9276,,2011ApJ...735..125S,-16.7,4.8608,3842
MSPM 00256,15h35m13.90s,+27d19m19.6s,GClstr,9818,,2012MNRAS.422...25S,0.9,4.8632,4384
SDSS J153513.90+271919.6,15h35m13.90s,+27d19m19.6s,G,9905,,2011ApJ...735..125S,0.9,4.8632,4471
USGC U710,15h35m10.80s,+27d19m24.0s,GTrpl,9896,,2002AJ....123.2976R,0.8,4.8645,4462
CGCG 166-011,15h35m14.74s,+27d19m29.9s,G,9631,,1999PASP..111..438F,1.0,4.8669,4197
2MASX J15334909+2719006,15h33m49.12s,+27d19m01.0s,G,10285,,2011AJ....142..170H,-3.8,4.8669,4851
[RPG97] 347,15h35m05.92s,+27d19m46.1s,GGroup,9932,,1997AJ....113..483R,0.5,4.8721,4497
2MFGC 12446,15h25m07.49s,+26d37m15.5s,G,10270,,2007SDSS6.C...0000:,-35.0,4.8774,4836
2MASX J15212558+2547560,15h21m25.56s,+25d47m56.0s,G,9869,,2007SDSS6.C...0000:,-52.5,4.8845,4435
SDSS J153042.75+271314.9,15h30m42.75s,+27d13m14.9s,G,9463,,2011ApJ...735..125S,-14.2,4.8882,4029
CGCG 166-008,15h34m02.18s,+27d20m26.8s,G,10223,,1997ApJS..111....1S,-3.0,4.8935,4789
2MASX J15210390+2542020,15h21m03.88s,+25d42m02.0s,G,9627,,2007SDSS6.C...0000:,-54.4,4.8974,4193
UGC 10035,15h47m36.33s,+26d03m49.6s,G,9475,,1991RC3.9.C...0000d,47.6,4.8984,4041
CGCG 166-012,15h35m15.40s,+27d21m01.9s,G,9749,,1996AJ....112.1759D,1.0,4.8996,4315
2MASX J15341010+2721265,15h34m10.11s,+27d21m26.4s,G,10138,,2011ApJ...735..125S,-2.6,4.9127,4704
[TSK2008] 1238,15h45m49.71s,+20d34m48.8s,GGroup,2089,,2008ApJ...676..184T,138.7,4.9135,-3345
UGC 10020,15h45m44.51s,+20d33m37.5s,G,2093,,1995A&AS..112..429F,139.1,4.9162,-3341
2MASX J15211144+2546450,15h21m11.41s,+25d46m44.6s,G,9956,,2007SDSS6.C...0000:,-53.2,4.9248,4522
UGC 10059,15h50m50.65s,+22d14m19.3s,G,9423,,1991RC3.9.C...0000d,108.3,4.9305,3989
2MASX J15354188+2722309,15h35m41.88s,+27d22m31.0s,G,9647,,2011ApJ...735..125S,2.4,4.9351,4213
SDSS J153829.54+271753.0,15h38m29.54s,+27d17m53.1s,G,9680,,2007SDSS6.C...0000:,11.7,4.9380,4246
2MASX J15352060+2722594,15h35m20.58s,+27d22m59.7s,G,9435,,2011ApJ...735..125S,1.3,4.9419,4001
SDSS J153527.84+272257.2,15h35m27.85s,+27d22m57.2s,G,10344,,2011ApJ...735..125S,1.7,4.9419,4910
2MASX J15204348+2539080,15h20m43.49s,+25d39m07.9s,G,9774,,2007SDSS6.C...0000:,-55.7,4.9449,4340
SDSS J155131.41+242347.3,15h51m31.41s,+24d23m47.3s,G,9711,,2011ApJ...735..125S,75.9,4.9525,4277
KUG 1549+245,15h51m29.73s,+24d26m06.0s,G,9595,,1996AJ....112.1759D,75.3,4.9554,4161
LSBC D514-02,15h30m26.81s,+27d15m59.9s,G,2023,,2011AJ....142..170H,-14.9,4.9643,-3411
CGCG 135-049,15h20m41.69s,+25d40m50.9s,G,9706,,2007SDSS6.C...0000:,-55.4,4.9721,4272
UGC 10016,15h45m28.97s,+26d36m11.0s,G,9654,,1999PASP..111..438F,37.0,4.9796,4220
2MASX J15351595+2725524,15h35m15.99s,+27d25m52.0s,G,9653,,2011ApJ...735..125S,1.0,5.0025,4219
SDSS J152750.91+270522.8,15h27m50.91s,+27d05m22.8s,G,9702,,2011ApJ...735..125S,-23.7,5.0037,4268
CGCG 107-006,15h34m03.22s,+19d33m53.6s,G,8791,,2007SDSS6.C...0000:,-176.9,5.0220,3357
CGCG 136-081,15h48m15.79s,+21d01m28.9s,G,4255,,2007SDSS6.C...0000:,128.2,5.0329,-1179
2MASX J15211803+2557330,15h21m18.00s,+25d57m31.9s,G,9970,,2007SDSS6.C...0000:,-50.9,5.0360,4536
2MASX J15192255+2515138,15h19m22.57s,+25d15m13.9s,G,9893,,2007SDSS6.C...0000:,-62.9,5.0369,4459
CGCG 135-048,15h20m34.90s,+25d44m13.0s,G,9702,,2012ApJS..199...26H,-54.9,5.0387,4268
2MASX J15335088+2727296,15h33m50.90s,+27d27m29.6s,G,9733,,2010ApJ...711..284S,-3.6,5.0464,4299
2MASX J15284597+2712464,15h28m46.00s,+27d12m46.3s,G,10021,,2011ApJ...735..125S,-20.3,5.0480,4587
SDSS J155218.04+232052.5,15h52m18.05s,+23d20m52.6s,G,9574,,2007SDSS6.C...0000:,91.4,5.0709,4140
KUG 1549+244,15h51m59.82s,+24d20m23.0s,G,9526,,2007SDSS6.C...0000:,77.0,5.0725,4092
CGCG 136-105,15h52m18.55s,+23d20m35.9s,G,9526,,1992ApJS...79..157F,91.4,5.0736,4092
SDSS J152206.96+261327.3,15h22m06.97s,+26d13m27.4s,G,10000,,2007SDSS6.C...0000:,-46.3,5.0748,4566
SDSS J153022.08+272106.2,15h30m22.09s,+27d21m06.3s,G,9530,,2011ApJ...735..125S,-14.8,5.0751,4096
SDSS J151732.08+233347.8,15h17m32.08s,+23d33m47.8s,G,6631,,2007SDSS6.C...0000:,-88.3,5.0848,1196
SDSS J152430.49+264317.3,15h24m30.50s,+26d43m17.4s,G,9680,,2007SDSS6.C...0000:,-35.8,5.0852,4246
SDSS J153347.81+193104.8,15h33m47.81s,+19d31m04.8s,G,2035,,2011ApJ...735..125S,-176.1,5.0864,-3399
SDSS J155119.31+221045.3,15h51m19.32s,+22d10m45.3s,G,9358,,2007SDSS6.C...0000:,108.5,5.0892,3924
MSPM 00170,15h20m15.55s,+25d42m47.5s,GClstr,10013,,2012MNRAS.422...25S,-55.8,5.0998,4579
SDSS J152015.54+254247.5,15h20m15.55s,+25d42m47.6s,G,10302,,2007SDSS6.C...0000:,-55.8,5.0998,4868
2MASX J15201757+2543384,15h20m17.59s,+25d43m38.5s,G,10003,,2007SDSS6.C...0000:,-55.5,5.1014,4569
2MASX J15195631+2536182,15h19m56.29s,+25d36m18.2s,G,9707,,2007SDSS6.C...0000:,-57.6,5.1056,4273
SDSS J151840.01+220515.1,15h18m40.02s,+22d05m15.1s,G,4780,,2011ApJ...735..125S,-109.9,5.1085,-654
USGC U697,15h20m25.70s,+25d47m02.0s,GTrpl,10013,,2002AJ....123.2976R,-54.6,5.1087,4579
2MASX J15172442+2336005,15h17m24.40s,+23d36m00.4s,G,6595,,2007SDSS6.C...0000:,-87.7,5.1225,1161
CGCG 135-047,15h20m10.95s,+25d43m19.3s,G,10106,,1999PASP..111..438F,-55.8,5.1245,4672
2MASX J15284193+2716194,15h28m41.92s,+27d16m19.3s,G,10205,,2011ApJ...735..125S,-20.2,5.1255,4771
[RPG97] 339,15h20m21.01s,+25d47m13.5s,GGroup,9992,,1997AJ....113..483R,-54.7,5.1296,4558
[DZ2015] 692,15h20m07.44s,+25d43m01.2s,GGroup,9718,,2015A&A...578A..61D,-55.9,5.1352,4284
[RPG97] 364,15h52m08.00s,+24d26m47.5s,GGroup,9594,,1997AJ....113..483R,75.6,5.1395,4160
SDSS J155100.49+215339.0,15h51m00.50s,+21d53m39.1s,G,2119,,2007SDSS6.C...0000:,112.7,5.1408,-3315
SDSS J153636.92+273134.8,15h36m36.92s,+27d31m34.9s,G,9709,,2011ApJ...735..125S,5.2,5.1457,4275
USGC U732,15h52m09.60s,+24d26m52.0s,GGroup,9592,,2002AJ....123.2976R,75.6,5.1474,4158
FGC 229A,15h40m42.26s,+27d20m08.9s,G,10254,,2006SDSS5.C...0000:,18.4,5.1531,4820
SDSS J155230.46+230738.8,15h52m30.46s,+23d07m38.8s,G,4455,,2007SDSS6.C...0000:,94.5,5.1542,-979
IC 1138,15h48m15.77s,+26d12m22.4s,G,6918,,1999PASP..111..438F,47.5,5.1600,1484
SDSS J151948.59+253838.8,15h19m48.60s,+25d38m38.9s,G,9749,,2007SDSS6.C...0000:,-57.3,5.1629,4315
UGC 10062,15h51m11.85s,+21d56m33.5s,G,7789,,1991RC3.9.C...0000d,111.8,5.1671,2355
2MASX J15195588+2541512,15h19m55.91s,+25d41m51.3s,G,9809,,2007SDSS6.C...0000:,-56.5,5.1687,4375
2MASX J15194811+2539512,15h19m48.13s,+25d39m51.5s,G,9775,,2007SDSS6.C...0000:,-57.1,5.1782,4341
SDSS J155205.92+243725.1,15h52m05.92s,+24d37m25.1s,G,9718,,2011ApJ...735..125S,73.2,5.1840,4284
SDSS J155205.93+243725.1,15h52m05.93s,+24d37m25.1s,G,9711,,2007SDSS6.C...0000:,73.2,5.1840,4277
SDSS J153331.37+192641.8,15h33m31.37s,+19d26m41.9s,G,8790,,2007SDSS6.C...0000:,-175.2,5.1855,3356
SDSS J152008.23+254824.3,15h20m08.23s,+25d48m24.3s,G,10376,,2007SDSS6.C...0000:,-54.9,5.1945,4941
SDSS J151838.86+251201.6,15h18m38.86s,+25d12m01.7s,G,9862,,2007SDSS6.C...0000:,-64.6,5.1999,4428
2MASX J15214358+2616270,15h21m43.59s,+26d16m27.1s,G,10325,,2007SDSS6.C...0000:,-46.6,5.2003,4891
